"No.","Time","Source","Destination","Protocol","Info"
"152","60.444094","192.168.1.33","192.168.1.17","TCP","[TCP Previous segment lost] bgp > 51661 [ACK] Seq=92 Ack=92 Win=16293 Len=0"
"153","60.886184","192.168.1.33","192.168.1.17","BGP","[TCP Retransmission] KEEPALIVE Message"
"154","61.111441","192.168.1.17","192.168.1.33","TCP","51661 > bgp [ACK] Seq=92 Ack=92 Win=16293 Len=0"
"155","62.843465","","","Q.933","STATUS ENQUIRY"
"156","62.844800","","","Q.933","STATUS"
"157","62.886394","150.1.11.17","224.0.0.5","OSPF","Hello Packet"
"158","63.096062","192.168.1.49","224.0.0.2","LDP","Hello Message "
"159","63.506412","192.168.1.50","224.0.0.2","LDP","Hello Message "
"160","64.612274","192.168.1.49","224.0.0.10","EIGRP","Hello"
"161","64.799455","192.168.1.50","224.0.0.10","EIGRP","Hello"
"162","67.226605","192.168.1.49","224.0.0.2","LDP","Hello Message "
"163","68.302561","192.168.1.50","224.0.0.2","LDP","Hello Message "
"164","69.123972","192.168.1.49","224.0.0.10","EIGRP","Hello"
"165","69.379415","192.168.1.50","224.0.0.10","EIGRP","Hello"
"166","71.025276","192.168.1.49","224.0.0.2","LDP","Hello Message "
"167","72.388021","192.168.1.50","224.0.0.2","LDP","Hello Message "
"168","72.863817","","","Q.933","STATUS ENQUIRY"
"169","72.865315","","","Q.933","STATUS"
"170","73.002816","150.1.11.17","224.0.0.5","OSPF","Hello Packet"
"171","73.683460","192.168.1.50","224.0.0.10","EIGRP","Hello"
"172","73.844864","192.168.1.49","224.0.0.10","EIGRP","Hello"
"173","75.550719","192.168.1.49","224.0.0.2","LDP","Hello Message "
"174","77.102377","192.168.1.50","224.0.0.2","LDP","Hello Message "
"175","78.407091","150.1.11.49","150.1.11.50","TCP","38417 > bgp [SYN] Seq=0 Win=16384 Len=0 MSS=1460"
"176","78.440406","150.1.11.50","150.1.11.49","TCP","bgp > 38417 [SYN, ACK] Seq=0 Ack=1 Win=16384 Len=0 MSS=1460"
